month,day,Solar_per,Eólica_per,Hidráulica_per,Carbón_per,Gas Natural_per
1,1,0.16727026501615155,0.07704807522448365,0.17609048935837263,-0.002919792459537463,-0.27214533512870775
1,2,0.16491222086413868,0.07849671451041064,0.17491378476357847,-0.007525755354388971,-0.26120996251284456
1,3,0.16237108004740966,0.07915657143147836,0.17362322402030111,-0.012352221878373272,-0.24945515075704672
1,4,0.15965876906621723,0.07896412694299544,0.1721981583923923,-0.017336406414891543,-0.23689022545494232
1,5,0.15678921293308762,0.07787332998245738,0.17061780834632848,-0.0224109981279477,-0.22354306162570492
1,6,0.153778233213778,0.07585693968312894,0.16886133930400196,-0.027505553438054643,-0.20946030463926543
1,7,0.15064339822722156,0.07290741462731219,0.16690802534607432,-0.03254800294395192,-0.19470710100190483
1,8,0.14740382525426615,0.06903732145503418,0.16473749901533136,-0.03746623258198623,-0.1793663330609057
1,9,0.1440799361835682,0.06427924757654929,0.16233008130461007,-0.04218969633657649,-0.16353736506504882
1,10,0.14069316962586262,0.05868521569333233,0.1596671820536415,-0.04665101655086104,-0.1473343214566734
1,11,0.13726565410110403,0.05232561096048102,0.15673175746071244,-0.05078752787809024,-0.1308839313952645
1,12,0.13381984839165093,0.04528764456431385,0.15350880836564507,-0.05454272216501934,-0.11432298594973997
1,13,0.1303781565091704,0.037673389888178546,0.14998590048997687,-0.05786755403351217,-0.09779546579790131
1,14,0.1269625258916997,0.02959743895232343,0.1461536860211554,-0.06072157056072674,-0.08144940729630484
1,15,0.12359403838895544,0.02118423711897914,0.1420064048661308,-0.06307383314703616,-0.06543358313730946
1,16,0.12029250427090515,0.012565162864504858,0.13754234362288198,-0.0649036052729474,-0.049894080237324584
1,17,0.11707606987713039,0.0038754264837828753,0.13276423084194997,-0.06620078622284394,-0.034970861790921716
1,18,0.11396084959379768,-0.00474913329062897,0.12767954846644974,-0.06696607781242668,-0.020794402434619098
1,19,0.11096059258821975,-0.013175272754338021,0.12230074141233001,-0.06721087850112611,-0.0074824850979228735
1,20,0.10808639415046456,-0.021275503951187855,0.1166453100210121,-0.06695690679019035,0.004862754638697859
1,21,0.10534646059404142,-0.028931111208054878,0.11073577349973514,-0.06623556328869223,0.016157455972910083
1,22,0.10274593547507715,-0.03603494562816881,0.10459949635496556,-0.06508704805922577,0.02633825874940987
1,23,0.10028679343035557,-0.042493925369902256,0.09826837410058951,-0.06355925662687716,0.03536406385203437
1,24,0.09796780624727519,-0.04823117717328971,0.09177837904754688,-0.061706484157240615,0.04321727547739155
1,25,0.09578458390906293,-0.0531877639816502,0.08516897160932939,-0.05958797260679859,0.04990448548339427
1,26,0.09372969135940855,-0.05732395438573226,0.07848238713956883,-0.0572663399727179,0.055456574068218446
1,27,0.09179283965848131,-0.06062000170137392,0.07176281270123705,-0.05480593399620217,0.05992821596166093
1,28,0.08996114811847473,-0.06307641344868682,0.06505547220775804,-0.052271154713713186,0.0633967967028213
1,29,0.08821947197228398,-0.06471370548014382,0.05840564193585683,-0.04972479104670082,0.06596075902812458
1,30,0.0865507882062367,-0.06557164863662142,0.05185762137028205,-0.047226416153307554,0.06773741448038574
1,31,0.08493663043479643,-0.06570802922558319,0.045453686589562635,-0.044830884546946295,0.06886026966559812
2,1,0.08335756216756979,-0.06519695744428788,0.039233054863659626,-0.04258697107226322,0.06947592973497971
2,2,0.0817936765656689,-0.06412676976504325,0.03323088974304089,-0.04053618779886554,0.0697406532877485
2,3,0.08022510984622415,-0.06259758193352984,0.02747737564415605,-0.03871180986791784,0.06981664265285879
2,4,0.0786325549049433,-0.0607185583162743,0.021996889769832502,-0.03713813544828972,0.06986816113289433
2,5,0.07699776150780843,-0.058604970621997377,0.016807297165918313,-0.03582999839717185,0.07005757406126627
2,6,0.07530400956883171,-0.056375124319115955,0.011919391858720067,-0.03479254516341301,0.07054141327323425
2,7,0.07353654258011842,-0.05414723423475454,0.007336503410213562,-0.034021280119063385,0.07146656472891903
2,8,0.0716829491845701,-0.05203633177045976,0.00305428397259456,-0.03350237606727588,0.07296667653370481
2,9,0.0697334821581004,-0.05015128488420961,-0.0009393138622455508,-0.033213239362126314,0.07515887952272521
2,10,0.06768130566564447,-0.04859200851100218,-0.004663863304604197,-0.03312331209351221,0.07814090503636793
2,11,0.06552266353099105,-0.04744693752731309,-0.008146094010362075,-0.03319508733657009,0.08198867469636725
2,12,0.06325696336529268,-0.04679082686997601,-0.011419332947075655,-0.03338530771653252,0.08675442515033828
2,13,0.06088677367344537,-0.04668293421030033,-0.014522766735471176,-0.033646312659325356,0.09246541719166763
2,14,0.05841773344027271,-0.04716562992262377,-0.017500541910336433,-0.033927495815988175,0.09912326373639183
2,15,0.05585837611999249,-0.048263467271207665,-0.020400724339520986,-0.0341768313714469,0.1067038952440242
2,16,0.05321987234610888,-0.04998273310509254,-0.02327414328842823,-0.03434242634708007,0.11515816472420588
2,17,0.05051569797416751,-0.052311486247908406,-0.026173149192778265,-0.03437405561920773,0.12441307791552654
2,18,0.047761236200543046,-0.05522007756603932,-0.029150316988291323,-0.03422463720709033,0.1343736180002693
2,19,0.044973324405126205,-0.058662132757862945,-0.0322571287532798,-0.033851607401114904,0.14492511875947034
2,20,0.04216975798530493,-0.06257596658827888,-0.035542670387059536,-0.03321815843991271,0.15593612580182342
2,21,0.03936876473806133,-0.06688638593207143,-0.039052377030328385,-0.03229430560730121,0.1672616727894874
2,22,0.03658846426271421,-0.07150682889743623,-0.04282686093181737,-0.031057755679951386,0.17874688879021705
