fecha,demanda
2016-01-02,182948.91384999998
2016-01-03,180321.33100099998
2016-01-04,203935.22450600003
2016-01-05,206328.253957
2016-01-06,205442.313532
2016-01-07,206061.352003
2016-01-08,208438.85390400002
2016-01-09,199023.097476
2016-01-10,183730.922026
2016-01-11,203779.656139
2016-01-12,203759.44280699998
2016-01-13,203745.66575100002
2016-01-14,206551.558048
2016-01-15,205563.40424
2016-01-16,197532.353912
2016-01-17,185617.33504
2016-01-18,208010.089615
2016-01-19,212016.225033
2016-01-20,213832.095297
2016-01-21,212891.47202699998
2016-01-22,212226.37265900004
2016-01-23,197621.534339
2016-01-24,179691.02303099996
2016-01-25,204137.410184
2016-01-26,203110.793633
2016-01-27,200058.165935
2016-01-28,202029.70386099996
2016-01-29,205038.76517199998
2016-01-30,196635.17695599998
2016-01-31,186162.15185599998
2016-02-01,209016.997875
2016-02-02,207629.69546400002
2016-02-03,204287.40409000003
2016-02-04,203097.329326
2016-02-05,209382.65209799996
2016-02-06,195598.95998699998
2016-02-07,178743.45779999997
2016-02-08,200269.13131199998
2016-02-09,208085.67885999999
2016-02-10,207081.95767
2016-02-11,209757.51209299997
2016-02-12,210061.841013
2016-02-13,200584.57363899998
2016-02-14,188478.14454200002
2016-02-15,216700.082385
2016-02-16,216441.625057
2016-02-17,214289.09160699998
2016-02-18,212924.88412099998
2016-02-19,213356.03131
2016-02-20,202911.68315599998
2016-02-21,189593.412169
2016-02-22,212619.70667999997
2016-02-23,219130.160659
2016-02-24,218680.07954
2016-02-25,218739.68736199997
2016-02-26,216683.07331899996
2016-02-27,200888.90360399996
2016-02-28,187288.77816699998
2016-02-29,210418.542763
2016-03-01,214660.94237800004
2016-03-02,212431.94954300002
2016-03-03,214888.949363
2016-03-04,217808.153453
2016-03-05,201069.98694700003
2016-03-06,184803.38913
2016-03-07,207260.12311600003
2016-03-08,211391.95506300003
2016-03-09,213951.291399
2016-03-10,215429.603895
2016-03-11,216990.321985
2016-03-12,203349.35792
2016-03-13,189056.03792800003
2016-03-14,208066.565087
2016-03-15,214358.525441
2016-03-16,217644.29805199997
2016-03-17,216381.91530000002
2016-03-18,215117.227619
2016-03-19,202181.933093
2016-03-20,191908.44234499996
2016-03-21,213561.00998799998
2016-03-22,215473.95320999998
2016-03-23,212158.658563
2016-03-24,206880.41993300003
2016-03-25,186766.29413400003
2016-03-26,186829.06654700002
2016-03-27,184940.125253
2016-03-28,208335.27758000002
2016-03-29,209416.138927
2016-03-30,213114.97762900003
2016-03-31,213940.63355499998
2016-04-01,203328.991552
2016-04-02,187269.79595800003
2016-04-03,173807.565112
2016-04-04,195431.77526300002
2016-04-05,200907.25303500003
2016-04-06,201327.078352
2016-04-07,195848.71418900002
2016-04-08,197434.57782299997
2016-04-09,188301.947486
2016-04-10,181592.04590899998
2016-04-11,201531.50947399996
2016-04-12,203847.443729
2016-04-13,202604.309567
2016-04-14,203804.642536
2016-04-15,206671.532455
2016-04-16,188351.0267931
2016-04-17,179657.606633
2016-04-18,195695.90360299998
2016-04-19,197420.07351999998
2016-04-20,196197.612929
2016-04-21,193280.927703784
2016-04-22,200618.63638140398
2016-04-23,191511.483248672
2016-04-24,182882.99004669196
2016-04-25,200350.742196052
2016-04-26,202682.86280377602
2016-04-27,203949.19754146802
2016-04-28,203873.04895572804
2016-04-29,203886.345000788
2016-04-30,193438.55275258402
2016-05-01,181103.961444168
2016-05-02,199839.82821814
2016-05-03,203653.48461957002
2016-05-04,204127.632764109
2016-05-05,205466.441634612
2016-05-06,204651.903260745
2016-05-07,195509.18816019603
2016-05-08,182718.257368051
2016-05-09,203418.52629753202
2016-05-10,207263.12834885102
2016-05-11,209687.33041592353
2016-05-12,207632.96126564464
2016-05-13,205506.5527427269
2016-05-14,202296.22700898888
2016-05-15,183283.8532170053
2016-05-16,198459.33859338198
2016-05-17,199317.28018702
2016-05-18,202837.7198242362
2016-05-19,202434.802392815
2016-05-20,203933.62049776298
2016-05-21,191279.841093469
2016-05-22,187047.577537964
2016-05-23,205688.07964846303
2016-05-24,207391.82793126692
2016-05-25,200814.65751508393
2016-05-26,201937.51264827
2016-05-27,206016.227348196
2016-05-28,199814.0288874923
2016-05-29,193989.42627445297
2016-05-30,208035.11835789
2016-05-31,209694.74635846823
2016-06-01,208055.190901917
2016-06-02,212111.42907832775
2016-06-03,212423.70218211878
2016-06-04,194667.121786704
2016-06-05,192075.718296607
2016-06-06,208107.32387237198
2016-06-07,207651.2616592008
2016-06-08,204832.704707439
2016-06-09,211036.76684314903
2016-06-10,210765.68001470692
2016-06-11,201360.4226566651
2016-06-12,194755.5800641062
2016-06-13,211612.49012474896
2016-06-14,213629.6984927133
2016-06-15,213821.342805346
2016-06-16,211101.11729835902
2016-06-17,211257.2540103429
2016-06-18,198569.4774351523
2016-06-19,191024.322916262
2016-06-20,213017.9480276562
2016-06-21,213061.70990872598
2016-06-22,211437.82193112
2016-06-23,210399.84210587898
2016-06-24,212810.370886976
2016-06-25,196731.08661664696
2016-06-26,186514.048738254
2016-06-27,193182.531900867
2016-06-28,211552.16660082003
2016-06-29,216765.13576037
2016-06-30,215821.563375026
2016-07-01,212080.80032008898
2016-07-02,201649.20747259
2016-07-03,191239.062196456
2016-07-04,207585.10143133003
2016-07-05,207788.572396006
2016-07-06,206019.520854038
2016-07-07,204230.677382939
2016-07-08,204436.205251354
2016-07-09,195629.08378616266
2016-07-10,189466.86459339526
2016-07-11,206285.583721169
2016-07-12,209275.04324290398
2016-07-13,206655.56015006898
2016-07-14,203367.883144045
2016-07-15,206837.01740862103
2016-07-16,187630.005000077
2016-07-17,189595.159880053
2016-07-18,208960.321161723
2016-07-19,209944.042604078
2016-07-20,205373.00609237203
2016-07-21,203808.9496523336
2016-07-22,201071.73559978002
2016-07-23,194775.216610389
2016-07-24,185134.29002292096
2016-07-25,205649.3645639349
2016-07-26,207083.3830655222
2016-07-27,205817.0299528211
2016-07-28,207354.9574378577
2016-07-29,203237.8166959536
2016-07-30,193767.64619985153
2016-07-31,181922.94628057998
2016-08-01,206517.949085225
2016-08-02,201414.48555582497
2016-08-03,195695.67015007546
2016-08-04,196166.99054250817
2016-08-05,202438.49318900015
2016-08-06,195557.09009400598
2016-08-07,186172.63993102388
2016-08-08,205519.65575354136
2016-08-09,203386.03936487625
2016-08-10,204760.90229417128
2016-08-11,204810.425556009
2016-08-12,205412.05005791472
2016-08-13,193782.30154164895
2016-08-14,173849.32775820728
2016-08-15,184558.23844094982
2016-08-16,197017.31949223578
2016-08-17,197605.35671847398
2016-08-18,199872.9773130036
2016-08-19,205835.2153562935
2016-08-20,195273.7952538064
2016-08-21,183490.14426587263
2016-08-22,202583.81154344708
2016-08-23,207530.50793762045
2016-08-24,206158.61926317855
2016-08-25,205476.71631717408
2016-08-26,206415.60991192795
2016-08-27,198101.3751570391
2016-08-28,184588.455276858
2016-08-29,202382.515091987
2016-08-30,202470.232509889
2016-08-31,203678.410095778
2016-09-01,202191.83998771998
2016-09-02,203125.207192607
2016-09-03,192299.19780011848
